test_name,real_vulnerability,cwe,num_tools_agreeing,flagged_by_semgrep,flagged_by_sonar,cwe_historical_precision,message,ml_risk_score,ml_priority,file,line,llm_verdict,llm_reason
BenchmarkTest00766,0,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6393503814415632,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00766.java,59,TP,"The request parameter `param` can be concatenated into the SQL query via `bar` when the condition `(7*18)+num > 200` is false, enabling SQL injection."
BenchmarkTest00117,0,CWE-643,1,1,0,0.5185,"Detected input from a HTTPServletRequest going into a XPath evaluate or compile command. This could lead to xpath injection if variables passed into the evaluate or compile commands are not properly sanitized. Xpath injection could lead to unauthorized access to sensitive information in XML documents. Instead, thoroughly sanitize user input or use parameterized xpath queries if you can.",0.4922262947505719,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00117.java,90,TP,"The user‑controlled value `bar` is concatenated directly into the XPath expression without any sanitization, enabling an attacker to inject malicious XPath and alter the query."
BenchmarkTest01626,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6050253134234014,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01626.java,53,TP,"User‑controlled data (bar) is concatenated into a raw SQL string and executed via a Statement without any sanitization or parameterization, creating a classic SQL injection risk."
BenchmarkTest01463,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6043967051102129,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01463.java,67,TP,"The user-controlled variable `bar` is concatenated into the call string and passed to `prepareCall` without sanitization, enabling SQL injection."
BenchmarkTest01379,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6161353418384643,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01379.java,57,TP,"A request‑derived value (`bar`) is concatenated directly into the callable SQL string, bypassing parameterization and allowing an attacker to inject malicious SQL."
BenchmarkTest00978,0,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5444416118463504,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00978.java,89,FP,"The code uses Runtime.exec(String[]) which passes arguments directly to the OS without invoking a shell, so concatenating user input into an argument does not lead to command injection."
BenchmarkTest00694,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.519750625119329,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00694.java,60,TP,"The LDAP filter is built by directly concatenating the unvalidated variable `bar` into the query string, allowing attacker‑controlled input to alter the LDAP search."
BenchmarkTest00568,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5683792859920807,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00568.java,87,TP,"The code passes the `args` array—presumably derived from the HTTP request—directly to `Runtime.exec` without any validation or sanitization, creating a command‑injection risk."
BenchmarkTest02286,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6043967051102129,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02286.java,55,TP,"User‑controlled data (`bar`) is concatenated directly into an SQL string and executed via a plain Statement, creating a classic SQL injection risk."
BenchmarkTest00191,0,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6043967051102129,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00191.java,77,TP,"Concatenating the untrusted `bar` value directly into the callable SQL string allows an attacker to control the procedure name or inject additional SQL, resulting in a potential SQL injection."
