cve_id,library,file,severity,message,tool
CVE-2016-10735,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2016-10735 - In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",dependency-check
CVE-2018-14040,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2018-14040 - In Bootstrap before 4.1.2, XSS is possible in the collapse data-parent attribute.",dependency-check
CVE-2018-14042,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2018-14042 - In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",dependency-check
CVE-2018-20676,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2018-20676 - In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",dependency-check
CVE-2018-20677,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2018-20677 - In Bootstrap before 3.4.0, XSS is possible in the affix configuration target property.",dependency-check
CVE-2019-8331,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,"CVE-2019-8331 - In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",dependency-check
CVE-2024-6485,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,CVE-2024-6485,dependency-check
Bootstrap before 4.0.0 is end-of-life and no longer maintained.,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.js,warning,Bootstrap before 4.0.0 is end-of-life and no longer maintained. - Bootstrap before 4.0.0 is end-of-life and no longer maintained.,dependency-check
CVE-2016-10735,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2016-10735 - In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",dependency-check
CVE-2018-14040,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2018-14040 - In Bootstrap before 4.1.2, XSS is possible in the collapse data-parent attribute.",dependency-check
CVE-2018-14042,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2018-14042 - In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",dependency-check
CVE-2018-20676,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2018-20676 - In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",dependency-check
CVE-2018-20677,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2018-20677 - In Bootstrap before 3.4.0, XSS is possible in the affix configuration target property.",dependency-check
CVE-2019-8331,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,"CVE-2019-8331 - In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",dependency-check
CVE-2024-6485,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,CVE-2024-6485,dependency-check
Bootstrap before 4.0.0 is end-of-life and no longer maintained.,pkg:javascript/bootstrap@3.3.4,file:///home/saroj/devsecops-correlation/data/benchmark/scorecard/content/js/bootstrap.min.js,warning,Bootstrap before 4.0.0 is end-of-life and no longer maintained. - Bootstrap before 4.0.0 is end-of-life and no longer maintained.,dependency-check
CVE-2015-9251,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,"CVE-2015-9251 - jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",dependency-check
CVE-2019-11358,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,"CVE-2019-11358 - jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",dependency-check
CVE-2020-11022,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,"CVE-2020-11022 - In jQuery starting with 1.12.0 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",dependency-check
CVE-2020-11023,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,"CVE-2020-11023 - In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",dependency-check
jquery issue: 11974,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,jquery issue: 11974 - parseHTML() executes scripts in event handlers,dependency-check
jquery issue: 162,pkg:javascript/jquery@2.1.4,file:///home/saroj/devsecops-correlation/data/benchmark/src/main/webapp/js/jquery.min.js,warning,jquery issue: 162 - jQuery 1.x and 2.x are End-of-Life and no longer receiving security updates,dependency-check
