test_name,real_vulnerability,cwe,num_tools_agreeing,flagged_by_semgrep,flagged_by_sonar,cwe_historical_precision,message,ml_risk_score,ml_priority
BenchmarkTest00001,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5446502000682291,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00002,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5333552162927581,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00003,1,CWE-328,0,0,0,1.0,,0.21055491925120276,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00004,1,CWE-501,1,1,0,0.7234,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.7065454651105066,P2 - High (ML Probable Vulnerability)
BenchmarkTest00005,1,CWE-327,2,1,1,0.9046,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,0.9582673165050278,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00006,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.565387778500283,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00007,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5140518495956894,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00008,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6013870000430575,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00009,0,CWE-328,0,0,0,1.0,,0.21055491925120276,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00010,0,CWE-330,0,0,0,1.0,,0.057764259022038515,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00011,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5333552162927581,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00012,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.5131125537608819,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00013,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.658125282848209,P2 - High (ML Probable Vulnerability)
BenchmarkTest00014,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.658125282848209,P2 - High (ML Probable Vulnerability)
BenchmarkTest00015,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.565387778500283,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00016,0,CWE-614,0,0,0,1.0,,0.10509525118902438,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00017,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.543197997632849,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00018,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6133730231246536,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00019,1,CWE-327,1,0,1,0.9046,Use a secure cipher mode.,0.7651568594963934,P2 - High (ML Probable Vulnerability)
BenchmarkTest00020,1,CWE-327,1,0,1,0.9046,Use a strong cipher algorithm.,0.7448928852534946,P2 - High (ML Probable Vulnerability)
BenchmarkTest00021,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.4729567405628093,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00022,0,CWE-328,0,0,0,1.0,,0.22444171124432277,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00023,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00024,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6133730231246536,P3 - Medium (ML Moderate / Needs Review)
