test_name,cwe,real_vulnerability,flagged_by_semgrep,outcome
BenchmarkTest00001,22,True,True,true_positive
BenchmarkTest00002,22,True,True,true_positive
BenchmarkTest00003,328,True,False,false_negative
BenchmarkTest00004,501,True,True,true_positive
BenchmarkTest00005,327,True,True,true_positive
BenchmarkTest00006,78,True,True,true_positive
BenchmarkTest00007,78,True,True,true_positive
BenchmarkTest00008,89,True,True,true_positive
BenchmarkTest00009,328,False,False,true_negative
BenchmarkTest00010,330,False,False,true_negative
BenchmarkTest00011,22,True,True,true_positive
BenchmarkTest00012,90,True,True,true_positive
BenchmarkTest00013,79,True,True,true_positive
BenchmarkTest00014,79,True,True,true_positive
BenchmarkTest00015,78,True,True,true_positive
BenchmarkTest00016,614,False,False,true_negative
BenchmarkTest00017,78,True,True,true_positive
BenchmarkTest00018,89,True,True,true_positive
BenchmarkTest00019,327,True,True,true_positive
BenchmarkTest00020,327,True,True,true_positive
BenchmarkTest00021,90,True,True,true_positive
BenchmarkTest00022,328,False,False,true_negative
BenchmarkTest00023,330,True,True,true_positive
BenchmarkTest00024,89,True,True,true_positive
BenchmarkTest00025,89,True,True,true_positive
BenchmarkTest00026,89,True,True,true_positive
BenchmarkTest00027,89,True,True,true_positive
BenchmarkTest00028,22,True,True,true_positive
BenchmarkTest00029,328,True,False,false_negative
BenchmarkTest00030,79,True,True,true_positive
BenchmarkTest00031,501,True,True,true_positive
BenchmarkTest00032,89,True,True,true_positive
BenchmarkTest00033,89,True,True,true_positive
BenchmarkTest00034,89,True,True,true_positive
BenchmarkTest00035,327,True,True,true_positive
BenchmarkTest00036,79,True,True,true_positive
BenchmarkTest00037,89,True,True,true_positive
BenchmarkTest00038,89,True,True,true_positive
BenchmarkTest00039,89,True,True,true_positive
BenchmarkTest00040,22,True,True,true_positive
BenchmarkTest00041,79,True,False,false_negative
BenchmarkTest00042,330,False,False,true_negative
BenchmarkTest00043,89,True,True,true_positive
BenchmarkTest00044,90,True,True,true_positive
BenchmarkTest00045,22,True,True,true_positive
BenchmarkTest00046,328,True,True,true_positive
BenchmarkTest00047,79,True,True,true_positive
BenchmarkTest00048,79,True,True,true_positive
BenchmarkTest00049,79,True,True,true_positive
BenchmarkTest00050,327,True,True,true_positive
BenchmarkTest00051,78,False,True,false_positive
BenchmarkTest00052,89,False,False,true_negative
BenchmarkTest00053,327,True,True,true_positive
BenchmarkTest00054,327,False,False,true_negative
BenchmarkTest00055,327,True,True,true_positive
BenchmarkTest00056,327,True,True,true_positive
BenchmarkTest00057,327,True,True,true_positive
BenchmarkTest00058,327,False,False,true_negative
BenchmarkTest00059,327,False,False,true_negative
BenchmarkTest00060,22,True,True,true_positive
BenchmarkTest00061,22,True,True,true_positive
BenchmarkTest00062,22,True,False,false_negative
BenchmarkTest00063,22,False,True,false_positive
BenchmarkTest00064,22,False,True,false_positive
BenchmarkTest00065,22,True,False,false_negative
BenchmarkTest00066,330,True,True,true_positive
BenchmarkTest00067,330,True,True,true_positive
BenchmarkTest00068,330,True,True,true_positive
BenchmarkTest00069,328,False,False,true_negative
BenchmarkTest00070,328,True,True,true_positive
BenchmarkTest00071,328,True,True,true_positive
BenchmarkTest00072,328,False,False,true_negative
BenchmarkTest00073,328,True,True,true_positive
