test_name,file,line,rule_id,severity,message,tool
BenchmarkTest00005,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,63,java:S5547,CRITICAL,Use a strong cipher algorithm.,sonarqube
BenchmarkTest00005,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,63,java:S5542,CRITICAL,Use another cipher mode or disable padding.,sonarqube
BenchmarkTest00008,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,57,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00018,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,59,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00019,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,51,java:S5547,CRITICAL,Use a strong cipher algorithm.,sonarqube
BenchmarkTest00019,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,51,java:S5542,CRITICAL,Use a secure cipher mode.,sonarqube
BenchmarkTest00020,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,59,java:S5547,CRITICAL,Use a strong cipher algorithm.,sonarqube
BenchmarkTest00020,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,59,java:S5542,CRITICAL,Use another cipher mode or disable padding.,sonarqube
BenchmarkTest00023,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,47,java:S2245,MAJOR,Make sure that using this pseudorandom number generator is safe here.,sonarqube
BenchmarkTest00024,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,54,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00027,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,52,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00034,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00035,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,66,java:S5547,CRITICAL,Use a strong cipher algorithm.,sonarqube
BenchmarkTest00035,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,66,java:S5542,CRITICAL,Use a secure cipher mode.,sonarqube
BenchmarkTest00037,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,68,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
BenchmarkTest00043,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,54,java:S2077,MAJOR,Make sure using a dynamically formatted SQL query is safe here.,sonarqube
