test_name,file,line,rule_id,cwe,severity,message,tool
BenchmarkTest00001,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,72,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00002,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,73,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00002,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,86,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00004,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,70,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00005,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,63,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00005,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,66,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00005,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,66,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00006,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,62,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
BenchmarkTest00006,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,66,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,CWE-78,error,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,semgrep
BenchmarkTest00007,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,61,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
