test_name,cwe,file,line,tools_involved,num_tools_agreeing,confidence,severities,sample_message
BenchmarkTest00001,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,72,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00002,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,73,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00002,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,86,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00004,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,70,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00005,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,63,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.
BenchmarkTest00006,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,62,semgrep,1,high (same CWE),error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00007,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,61,semgrep,1,single-tool,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00008,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,57,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00011,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,54,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00012,CWE-90,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java,68,semgrep,1,single-tool,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data."
BenchmarkTest00013,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java,56,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00014,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java,56,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00015,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,64,semgrep,1,high (same CWE),error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00017,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,63,semgrep,1,single-tool,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00018,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,57,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00019,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,54,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
