test_name,real_vulnerability,cwe,num_tools_agreeing,flagged_by_semgrep,flagged_by_sonar,cwe_historical_precision,message,ml_risk_score,ml_priority,file,line
BenchmarkTest00001,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5402428179282152,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,72
BenchmarkTest00002,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5372346090670375,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,73
BenchmarkTest00003,1,CWE-328,0,0,0,1.0,,0.24087705674222445,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00004,1,CWE-501,1,1,0,0.7234,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.7789605520980689,P2 - High (ML Probable Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,70
BenchmarkTest00005,1,CWE-327,2,1,1,0.9046,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,0.974080729406824,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,63
BenchmarkTest00006,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5683792859920807,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,62
BenchmarkTest00007,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5114755110284748,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,61
BenchmarkTest00008,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6043967051102129,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,57
BenchmarkTest00009,0,CWE-328,0,0,0,1.0,,0.24087705674222445,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00010,0,CWE-330,0,0,0,1.0,,0.0331840260624013,P4 - Low (ML Suppressed / Likely False Alarm),,
